# name	url	branch
ADAS	https://github.com/ShengranHu/ADAS	main
AI-Scientist-v2	https://github.com/SakanaAI/AI-Scientist-v2	main
BMAD-METHOD	https://github.com/bmad-code-org/BMAD-METHOD	main
Clawith	https://github.com/dataelement/Clawith.git	main
OpenHands	https://github.com/All-Hands-AI/OpenHands.git	main
agent-governance-toolkit	https://github.com/microsoft/agent-governance-toolkit.git	main
ai-website-cloner-template	https://github.com/JCodesMore/ai-website-cloner-template	master
aider	https://github.com/Aider-AI/aider.git	main
autogen	https://github.com/microsoft/autogen.git	main
claude-remote-manager	https://github.com/grandamenium/claude-remote-manager.git	main
codex	https://github.com/openai/codex	main
crewAI	https://github.com/crewAI-inc/crewAI	main
dify	https://github.com/langgenius/dify.git	main
gbrain	https://github.com/garrytan/gbrain	master
gepa	https://github.com/gepa-ai/gepa	main
get-shit-done	https://github.com/gsd-build/get-shit-done	main
gh-aw	https://github.com/github/gh-aw	main
gsd-2	https://github.com/gsd-build/gsd-2	main
gsd-pi	https://github.com/open-gsd/gsd-pi	main
gstack	https://github.com/garrytan/gstack	main
hermes-agent	https://github.com/NousResearch/hermes-agent.git	main
huashu-design	https://github.com/alchaincyf/huashu-design	master
langfuse	https://github.com/langfuse/langfuse.git	main
mcp-servers	https://github.com/modelcontextprotocol/servers.git	main
mem0	https://github.com/mem0ai/mem0.git	main
memori-labs	https://github.com/MemoriLabs/Memori.git	main
mempalace	https://github.com/milla-jovovich/mempalace	main
# next-level-outreach — remoto 404 desde 2026-08-23 (henriquecaner/next-level-outreach). Clone local preservado.
# next-level-outreach	https://github.com/henriquecaner/next-level-outreach	main
openclaw	https://github.com/openclaw/openclaw	main
paperclip	https://github.com/paperclipai/paperclip	master
spec-kit	https://github.com/github/spec-kit.git	main
superpowers	https://github.com/obra/superpowers	main
workflow	https://github.com/vercel/workflow	main
LifeOS	https://github.com/danielmiessler/LifeOS	main
karpathy-llm-wiki	https://github.com/Astro-Han/karpathy-llm-wiki	main
qmd	https://github.com/tobi/qmd	main
obsidian-skills	https://github.com/kepano/obsidian-skills	main
second-brain-skills	https://github.com/iwo-szapar/second-brain-skills	main
obsidian-readwise	https://github.com/readwiseio/obsidian-readwise	master
obsidian-local-rest-api	https://github.com/coddingtonbear/obsidian-local-rest-api	main
basic-memory	https://github.com/basicmachines-co/basic-memory	main
markitdown	https://github.com/microsoft/markitdown	main
second-brain	https://github.com/nickj-11/second-brain	main
obsidian-second-brain	https://github.com/eugeniughelbur/obsidian-second-brain	main
docling-core	https://github.com/docling-project/docling-core	main
